City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,hithadhoo,-0.6,73.0833,28.17,71,89,6.3,MV,Sun Oct  1 10:35:09 2023
120,klofta,60.0667,11.15,13.6,65,0,3.6,NO,Sun Oct  1 10:35:09 2023
121,margaret river,-33.95,115.0667,13.0,77,98,11.08,AU,Sun Oct  1 10:35:10 2023
122,patacamaya,-17.2333,-67.9167,15.84,38,27,3.73,BO,Sun Oct  1 10:35:10 2023
123,taltal,-25.4,-70.4833,18.05,67,5,2.79,CL,Sun Oct  1 10:35:10 2023
124,gereida,11.2811,25.1414,34.05,36,73,1.8,SD,Sun Oct  1 10:35:10 2023
125,chonchi,-42.6128,-73.8092,6.18,98,100,1.4,CL,Sun Oct  1 10:35:10 2023
126,sao joao da barra,-21.6403,-41.0511,24.05,77,100,8.67,BR,Sun Oct  1 10:35:11 2023
127,albany,42.6001,-73.9662,18.13,88,1,2.93,US,Sun Oct  1 10:31:48 2023
128,kapa'a,22.0752,-159.319,25.18,85,20,6.69,US,Sun Oct  1 10:35:11 2023
129,olyokminsk,60.3736,120.4264,5.47,89,58,0.86,RU,Sun Oct  1 10:35:11 2023
130,muang xay,20.7,101.9833,21.42,99,53,0.84,LA,Sun Oct  1 10:35:11 2023
131,keflavik,64.0049,-22.5624,11.95,76,0,4.63,IS,Sun Oct  1 10:35:12 2023
132,san martin,-33.081,-68.4681,23.3,25,3,4.72,AR,Sun Oct  1 10:35:12 2023
133,papatowai,-46.5619,169.4708,13.43,64,99,4.36,NZ,Sun Oct  1 10:35:12 2023
134,howrah,22.5892,88.3103,28.0,94,75,2.06,IN,Sun Oct  1 10:35:12 2023
135,ilulissat,69.2167,-51.1,0.01,51,6,2.06,GL,Sun Oct  1 10:35:13 2023
136,kodiak,57.79,-152.4072,8.73,100,100,2.57,US,Sun Oct  1 10:35:13 2023
137,urengoy,65.9667,78.3667,2.28,68,100,7.6,RU,Sun Oct  1 10:35:13 2023
138,altay,47.8667,88.1167,8.66,61,31,2.52,CN,Sun Oct  1 10:35:13 2023
139,oroqen zizhiqi,50.5667,123.7167,4.55,86,27,0.14,CN,Sun Oct  1 10:35:13 2023
140,bartica,6.4,-58.6167,35.18,34,100,2.16,GY,Sun Oct  1 10:35:14 2023
141,kibondo,-3.5864,30.7203,30.35,24,70,2.55,TZ,Sun Oct  1 10:35:14 2023
142,acarau,-2.8856,-40.12,31.77,53,36,9.31,BR,Sun Oct  1 10:35:14 2023
143,alice springs,-23.7,133.8833,29.75,15,81,3.6,AU,Sun Oct  1 10:30:35 2023
144,bamboo flat,11.7,92.7167,27.05,89,75,1.54,IN,Sun Oct  1 10:35:14 2023
145,friedland,51.4167,9.9333,22.77,52,98,1.79,DE,Sun Oct  1 10:35:14 2023
146,shetpe,44.1667,52.1167,20.78,39,14,3.7,KZ,Sun Oct  1 10:35:15 2023
147,stanley,54.868,-1.6985,20.16,73,100,4.68,GB,Sun Oct  1 10:30:50 2023
148,ulsteinvik,62.3432,5.8487,13.32,77,100,2.24,NO,Sun Oct  1 10:35:15 2023
149,formosa do rio preto,-11.0483,-45.1931,37.81,17,0,3.04,BR,Sun Oct  1 10:35:15 2023
150,pangody,65.85,74.4859,2.26,100,100,3.43,RU,Sun Oct  1 10:32:25 2023
151,orcopampa,-15.2661,-72.3417,11.69,70,53,1.62,PE,Sun Oct  1 10:35:16 2023
152,bilibino,68.0546,166.4372,-7.8,87,100,0.75,RU,Sun Oct  1 10:35:16 2023
153,al jawf,29.5,38.75,32.82,13,15,4.36,SA,Sun Oct  1 10:35:16 2023
154,mubende,0.5606,31.39,20.57,78,80,0.67,UG,Sun Oct  1 10:35:16 2023
155,ryotsu-minato,38.0833,138.4333,18.9,68,31,5.06,JP,Sun Oct  1 10:35:16 2023
156,nikolayevsk-on-amure,53.1406,140.73,9.51,97,100,3.18,RU,Sun Oct  1 10:35:17 2023
157,akwanga,8.9167,8.3833,27.19,77,87,2.2,NG,Sun Oct  1 10:35:17 2023
158,hola,51.5377,23.1902,16.1,44,88,3.01,PL,Sun Oct  1 10:35:17 2023
159,puerto real,36.5282,-6.1901,35.07,35,0,7.2,ES,Sun Oct  1 10:35:17 2023
160,tamalpais valley,37.8796,-122.5458,14.25,91,35,2.24,US,Sun Oct  1 10:35:17 2023
161,lorengau,-2.0226,147.2712,26.55,81,24,2.18,PG,Sun Oct  1 10:35:18 2023
162,rawson,-43.3002,-65.1023,19.28,31,100,5.03,AR,Sun Oct  1 10:35:18 2023
163,ridgecrest,35.6225,-117.6709,12.79,65,75,3.09,US,Sun Oct  1 10:35:18 2023
164,alofi,-19.0595,-169.9187,21.94,68,99,6.69,NU,Sun Oct  1 10:35:18 2023
165,utrik,11.2278,169.8474,27.43,77,100,2.8,MH,Sun Oct  1 10:35:18 2023
166,sealy,29.7808,-96.1572,28.61,81,70,1.34,US,Sun Oct  1 10:35:18 2023
167,roma,43.2128,-75.4557,20.53,100,100,0.0,US,Sun Oct  1 10:32:48 2023
168,tazovsky,67.4667,78.7,-0.16,95,100,6.41,RU,Sun Oct  1 10:32:21 2023
169,zholymbet,51.7433,71.7122,12.92,59,99,3.85,KZ,Sun Oct  1 10:35:19 2023
170,bargaal,11.2864,51.0773,27.51,76,4,2.13,SO,Sun Oct  1 10:35:19 2023
171,kingston,17.997,-76.7936,33.53,66,20,1.79,JM,Sun Oct  1 10:35:20 2023
172,quelimane,-17.8786,36.8883,30.97,55,0,9.26,MZ,Sun Oct  1 10:30:37 2023
173,mount isa,-20.7333,139.5,18.87,37,3,1.03,AU,Sun Oct  1 10:35:20 2023
174,tulum,20.2167,-87.4667,29.2,83,79,1.71,MX,Sun Oct  1 10:35:20 2023
175,kavieng,-2.5744,150.7967,26.94,83,94,2.67,PG,Sun Oct  1 10:35:20 2023
176,yaren,-0.5472,166.916,28.4,76,11,2.84,NR,Sun Oct  1 10:35:21 2023
177,bela,25.9333,81.9833,27.85,75,52,2.14,IN,Sun Oct  1 10:35:21 2023
178,portoferraio,42.8115,10.3146,27.29,57,0,0.0,IT,Sun Oct  1 10:35:21 2023
179,xiannu,32.4367,119.5508,19.94,74,99,2.88,CN,Sun Oct  1 10:35:21 2023
180,ta`u,-14.2336,-169.5144,26.46,83,27,8.27,AS,Sun Oct  1 10:35:21 2023
181,kudat,6.8837,116.8477,27.96,83,100,3.13,MY,Sun Oct  1 10:35:21 2023
182,les cayes,18.2,-73.75,31.66,65,98,3.5,HT,Sun Oct  1 10:35:22 2023
183,puerto santa,-8.9906,-78.6456,19.76,82,95,3.9,PE,Sun Oct  1 10:35:22 2023
184,vilyuchinsk,52.9306,158.4028,7.18,82,99,0.57,RU,Sun Oct  1 10:35:22 2023
185,dombarovskiy,50.7587,59.5386,16.67,45,99,2.68,RU,Sun Oct  1 10:35:22 2023
186,kembe,4.6228,21.8865,27.97,74,83,0.84,CF,Sun Oct  1 10:35:22 2023
187,weno,7.4515,151.8468,27.97,89,40,2.57,FM,Sun Oct  1 10:35:23 2023
188,nabire,-3.3667,135.4833,24.41,88,100,0.46,ID,Sun Oct  1 10:35:23 2023
189,lihue,21.9789,-159.3672,24.77,85,20,6.69,US,Sun Oct  1 10:35:23 2023
190,sittwe,20.15,92.9,26.03,92,100,6.09,MM,Sun Oct  1 10:35:23 2023
191,tolanaro,-25.0319,46.9987,28.04,65,20,6.17,MG,Sun Oct  1 10:35:23 2023
192,dudinka,69.4058,86.1778,-10.74,96,57,1.34,RU,Sun Oct  1 10:35:24 2023
193,uturoa,-16.7333,-151.4333,25.85,79,70,8.72,PF,Sun Oct  1 10:35:24 2023
194,lodja,-3.4833,23.4333,33.16,42,79,0.99,CD,Sun Oct  1 10:35:24 2023
195,tromso,69.6496,18.957,6.01,81,75,3.09,NO,Sun Oct  1 10:34:57 2023
196,katsuura,35.1333,140.3,24.52,87,99,1.7,JP,Sun Oct  1 10:35:24 2023
197,crikvenica,45.1772,14.6928,26.25,52,0,1.54,HR,Sun Oct  1 10:35:25 2023
198,las higueras,-33.0923,-64.289,25.23,24,0,7.72,AR,Sun Oct  1 10:35:25 2023
199,grootfontein,-19.5667,18.1167,35.76,7,0,2.57,NA,Sun Oct  1 10:35:25 2023
200,moroni,-11.7022,43.2551,28.0,65,75,3.6,KM,Sun Oct  1 10:35:25 2023
201,al qitena,14.8648,32.3668,38.73,20,3,1.4,SD,Sun Oct  1 10:35:25 2023
202,mejit,10.2753,170.8646,27.02,79,100,4.16,MH,Sun Oct  1 10:35:25 2023
203,sumbe,-11.2061,13.8437,24.47,79,38,3.8,AO,Sun Oct  1 10:35:26 2023
204,tshabong,-26.05,22.45,30.94,8,0,3.95,BW,Sun Oct  1 10:35:26 2023
205,longyearbyen,78.2186,15.6401,-3.09,68,75,9.26,SJ,Sun Oct  1 10:35:26 2023
206,komyshuvakha,47.7176,35.5288,23.39,32,32,0.88,UA,Sun Oct  1 10:35:26 2023
207,goroka,-6.0834,145.3873,16.8,98,84,0.35,PG,Sun Oct  1 10:35:27 2023
208,eraan,9.0629,117.7016,26.12,90,100,5.58,PH,Sun Oct  1 10:35:27 2023
209,afaahiti,-17.75,-149.2833,22.93,84,40,8.77,PF,Sun Oct  1 10:35:27 2023
210,cabedelo,-6.9811,-34.8339,25.37,61,45,6.9,BR,Sun Oct  1 10:35:27 2023
211,sweet home,44.3976,-122.7362,8.86,66,26,1.02,US,Sun Oct  1 10:35:27 2023
212,holualoa,19.6228,-155.9522,25.48,87,75,3.09,US,Sun Oct  1 10:35:27 2023
213,grand falls-windsor,48.9332,-55.6649,18.61,64,71,0.89,CA,Sun Oct  1 10:35:28 2023
214,ormara,25.2088,64.6357,28.51,60,0,7.4,PK,Sun Oct  1 10:35:28 2023
215,saldanha,-33.0117,17.9442,22.03,62,0,5.21,ZA,Sun Oct  1 10:35:28 2023
216,alijo,41.2845,-7.4855,32.26,20,15,0.89,PT,Sun Oct  1 10:35:28 2023
217,akureyri,65.6835,-18.0878,7.96,66,40,1.54,IS,Sun Oct  1 10:35:29 2023
218,fale old settlement,-9.3852,-171.2468,27.39,78,25,2.27,TK,Sun Oct  1 10:35:29 2023
219,villanueva,15.3167,-88.0,28.35,88,40,0.51,HN,Sun Oct  1 10:35:29 2023
220,remire-montjoly,4.9167,-52.2667,33.02,52,75,4.12,GF,Sun Oct  1 10:35:29 2023
221,manakara,-22.1333,48.0167,23.7,80,8,6.22,MG,Sun Oct  1 10:35:29 2023
222,crane,31.3974,-102.3501,24.06,65,100,9.63,US,Sun Oct  1 10:35:29 2023
223,sing buri,14.85,100.2333,26.63,84,100,1.07,TH,Sun Oct  1 10:35:30 2023
224,whakatane,-37.9585,176.9854,13.06,89,98,3.15,NZ,Sun Oct  1 10:35:30 2023
225,tsiombe,-25.3,45.4833,25.83,48,1,2.97,MG,Sun Oct  1 10:35:30 2023
226,ishigaki,24.3448,124.1572,28.07,83,75,6.17,JP,Sun Oct  1 10:35:30 2023
227,ulladulla,-35.35,150.4667,14.51,68,23,2.36,AU,Sun Oct  1 10:35:31 2023
228,piton saint-leu,-21.2196,55.3151,24.04,69,0,2.06,RE,Sun Oct  1 10:35:31 2023
229,kiunga,-6.1219,141.2906,22.97,99,100,1.18,PG,Sun Oct  1 10:35:31 2023
230,kazan,55.7887,49.1221,20.97,43,7,3.39,RU,Sun Oct  1 10:35:31 2023
231,coquimbo,-29.9533,-71.3436,13.85,82,100,3.09,CL,Sun Oct  1 10:35:31 2023
